74344,代码大全,史蒂夫迈克康奈尔,2020,介绍1,20200701,1,1
37394,程序员修炼之道,David-Thomas,2020,介绍2,20200702,2,1
55351,计算机程序的构造和解释,Harold,2020,介绍3,20200703,3,1
23010,C程序设计语言,Brian,2020,介绍4,20200704,4,1
22966,算法导论,ThomasH,2020,介绍5,20200705,5,1
62191,设计模式,ErichGamma,2020,介绍6,20200706,6,1
80654,编译原理,Alfred,2020,介绍7,20200707,7,1
68116,倾城之恋,张爱玲,2020,介绍8,20200708,8,1
66615,荆棘鸟,考林麦卡洛,2020,介绍9,20200709,9,1
60483,挪威的森林,村上春树,2020,介绍10,20200710,10,1
27545,失乐园,渡边淳一,2020,介绍11,20200711,11,1
60839,飞鸟集,泰戈尔,2020,介绍12,20200712,12,1
28933,麦田里的守望者,塞林格,2020,介绍13,20200713,13,1
76272,小王子,德克旭贝里,2020,介绍14,20200714,14,1
45545,茶花女,小仲马,2020,介绍15,20200715,15,1
20453,红与黑,司汤达,2020,介绍16,20200716,16,1
95592,傲慢与偏见,简奥斯丁,2020,介绍17,20200717,17,1
29443,玛卓的爱情,北村,2020,介绍18,20200718,18,1
60121,雷雨,曹禺,2020,介绍19,20200719,19,1
75531,珍妮姑娘,西奥多德莱塞,2020,介绍20,20200720,20,1,
87445,平凡的世界,路遥,2020,介绍21,20200721,21	1
95473,巴黎圣母院,雨果,2020,介绍22,20200722,22,1
31924,金锁记,张爱玲,2020,介绍23,20200723,23,1
91884,悲惨世界,雨果,2020,介绍24,20200724,24,1
